image_path,classification,timestamp,latitude,longitude,comment
2c3aa6e0-a9b7-4ea6-9028-d34591925732.jpg,garbage,2024-04-17 4:31:03,51.46996,-0.07055,"This large pile of dumped garbage is unacceptable. It's attracting rodents and other pests, posing a health hazard to our community. Immediate cleanup and enforcement are needed to prevent further incidents."
33778adc-68aa-44cf-bb13-e4f2fc5bbac6.png,garbage,2024-04-21 17:16:39,51.46956,-0.06108,The dumping of construction debris here is illegal and disruptive. It obstructs pedestrian paths and creates an eyesore in our otherwise tidy neighborhood. Let's ensure proper disposal and reporting to maintain our area's cleanliness.
1b76c89b-1520-4d1f-a720-d8842025b1bc.jpg,garbage,2024-05-23 3:06:01,51.46648,-0.07576,Dumping household waste like this is irresponsible and disrespectful to our neighborhood. It not only harms our environment but also affects property values. Let's educate residents on proper disposal methods and increase surveillance to deter future incidents.
8ba755d0-3398-40ec-85c1-d419983ccd2a.jpg,garbage,2024-04-23 17:23:04,51.47098,-0.0565,This pile of garbage near the playground is a safety concern for children and families. It's unsightly and could potentially attract vermin. We urge authorities to promptly remove it and install proper signage to discourage further dumping.
063726b7-f5f2-4609-976b-74c644d5effc.jpg,garbage,2024-05-15 12:37:12,51.47065,-0.07941,The dumping of old furniture here is frustrating and illegal. It mars our neighborhood's beauty and makes our community less desirable. Let's collaborate with local authorities to identify and penalize offenders while promoting responsible waste disposal practices.
1a5bc497-1d00-4c54-bdd1-a2f883a52269.jpg,graffiti,2024-06-16 21:43:27,51.47172,-0.07884,This graffiti is a blight on our neighborhood. It undermines community pride and can attract more vandalism. Swift removal and proactive prevention efforts are crucial.
3d503b5f-eaa2-47b6-ba81-c46f22766e2e.jpg,graffiti,2024-06-11 3:28:25,51.47411,-0.06246,The spray-painted tags on this historic building are disrespectful and damaging. They detract from our neighborhood's cultural heritage and require immediate attention from authorities.
1ae07507-a309-41c1-9261-e6ec744b7503.jpg,graffiti,2024-04-23 2:58:14,51.47566,-0.07959,"Graffiti like this on our local park benches is vandalism, plain and simple. It diminishes the beauty of our public spaces and should be addressed promptly to maintain a welcoming environment."
5ce72925-9fb1-4c76-8620-c9c1da6dd292.JPG,graffiti,2024-04-26 12:00:26,51.47435,-0.0679,The graffiti on these shutters is upsetting to residents and devalues our properties. Enhanced neighborhood watch and quick removal can discourage future incidents.
538c43b3-00c5-4807-b062-ace37ee43628.jpg,graffiti,2024-05-21 8:33:49,51.47487,-0.07141,This graffiti promotes a negative image of our neighborhood. It's essential to address it swiftly to prevent further deterioration of our community's appearance.
